,file_name,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,label
0,0.jpg,4.260230206,-0.883513304,17.45839663,6.456898938,-17.83021158,21,head_right_30_eye_0
1,1.jpg,4.103117332,-1.075962586,18.39458907,9.168569933,-18.83350457,23,head_right_30_eye_0
2,2.jpg,4.103117332,-1.075962586,18.39458907,9.168569933,-18.83350457,23,head_right_30_eye_0
3,3.jpg,3.393873924,-0.604148595,18.6321838,7.354917152,-17.15227978,21,head_right_30_eye_0
4,4.jpg,3.393873924,-0.604148595,18.6321838,7.354917152,-17.15227978,21,head_right_30_eye_0
5,5.jpg,1.958634789,-0.518897511,19.43845633,7.46721304,-18.50383373,22,head_right_30_eye_0
6,6.jpg,1.958634789,-0.518897511,19.43845633,7.46721304,-18.50383373,22,head_right_30_eye_0
7,7.jpg,3.375598496,-0.455574067,18.53544681,9.083311796,-19.51791613,23,head_right_30_eye_0
8,8.jpg,3.375598496,-0.455574067,18.53544681,9.083311796,-19.51791613,23,head_right_30_eye_0
9,9.jpg,3.93057961,-0.877073081,18.47634006,10.07605212,-18.73950585,23,head_right_30_eye_0
10,10.jpg,3.93057961,-0.877073081,18.47634006,10.07605212,-18.73950585,23,head_right_30_eye_0
11,11.jpg,2.876981326,-0.510257795,18.89659405,8.775239993,-15.24179581,19,head_right_30_eye_0
12,12.jpg,2.876981326,-0.510257795,18.89659405,8.775239993,-15.24179581,19,head_right_30_eye_0
13,13.jpg,3.91369764,-0.759983933,18.10998848,6.988958347,-14.26219433,17,head_right_30_eye_0
14,14.jpg,3.91369764,-0.759983933,18.10998848,6.988958347,-14.26219433,17,head_right_30_eye_0
15,15.jpg,3.378708492,-0.466601897,18.2712328,6.776112709,-14.37427394,17,head_right_30_eye_0
16,16.jpg,3.378708492,-0.466601897,18.2712328,6.776112709,-14.37427394,17,head_right_30_eye_0
17,17.jpg,3.436021375,-0.937767412,18.48386439,7.296420832,-15.08547742,19,head_right_30_eye_0
18,18.jpg,3.436021375,-0.937767412,18.48386439,7.296420832,-15.08547742,19,head_right_30_eye_0
19,19.jpg,3.843152496,-0.922897249,18.78404371,5.403362394,-17.86021083,21,head_right_30_eye_0
20,20.jpg,3.843152496,-0.922897249,18.78404371,5.403362394,-17.86021083,21,head_right_30_eye_0
21,21.jpg,4.142141124,-0.878685949,18.23843728,7.346047831,-15.17666248,19,head_right_30_eye_0
22,22.jpg,4.142141124,-0.878685949,18.23843728,7.346047831,-15.17666248,19,head_right_30_eye_0
23,23.jpg,3.9934492,-0.639766297,18.58071866,7.525279399,-18.68794175,22,head_right_30_eye_0
24,24.jpg,3.9934492,-0.639766297,18.58071866,7.525279399,-18.68794175,22,head_right_30_eye_0
25,25.jpg,3.716696916,-0.681781936,18.04248262,8.210073672,-18.94104865,23,head_right_30_eye_0
26,26.jpg,3.716696916,-0.681781936,18.04248262,8.210073672,-18.94104865,23,head_right_30_eye_0
27,27.jpg,3.943448269,-0.623209889,18.33295072,6.368314893,-17.24053391,20,head_right_30_eye_0
28,28.jpg,3.943448269,-0.623209889,18.33295072,6.368314893,-17.24053391,20,head_right_30_eye_0
29,29.jpg,3.454096168,-0.815757719,18.12567587,7.315384884,-19.56599851,23,head_right_30_eye_0
30,30.jpg,3.454096168,-0.815757719,18.12567587,7.315384884,-19.56599851,23,head_right_30_eye_0
31,31.jpg,4.393047877,-0.800850526,18.51190294,8.114612963,-18.30707801,22,head_right_30_eye_0
32,32.jpg,4.393047877,-0.800850526,18.51190294,8.114612963,-18.30707801,22,head_right_30_eye_0
33,33.jpg,3.559156685,-0.588553028,18.00673164,7.008714872,-17.11809313,21,head_right_30_eye_0
34,34.jpg,3.559156685,-0.588553028,18.00673164,7.008714872,-17.11809313,21,head_right_30_eye_0
35,35.jpg,4.656551946,-0.986611035,17.67453792,8.804648292,-16.40118285,21,head_right_30_eye_0
36,36.jpg,4.656551946,-0.986611035,17.67453792,8.804648292,-16.40118285,21,head_right_30_eye_0
37,37.jpg,4.232546931,-0.721452517,17.72045465,5.737077626,-15.81169166,18,head_right_30_eye_0
38,38.jpg,4.232546931,-0.721452517,17.72045465,5.737077626,-15.81169166,18,head_right_30_eye_0
39,39.jpg,4.834063024,-0.551606977,18.18190874,7.560966559,-17.22627793,21,head_right_30_eye_0
40,40.jpg,4.834063024,-0.551606977,18.18190874,7.560966559,-17.22627793,21,head_right_30_eye_0
