,file_name,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,label
0,0.jpg,0.053992196,-0.998095999,-3.13111888,-11.59539915,1.176418543,6,head_straight_eye_straight
1,1.jpg,0.199837413,-0.842060113,-3.643689154,-6.869514195,6.450512612,5,head_straight_eye_straight
2,2.jpg,0.199837413,-0.842060113,-3.643689154,-6.869514195,6.450512612,5,head_straight_eye_straight
3,3.jpg,0.036036354,-0.71087705,-3.018156595,-8.081615274,5.993821038,6,head_straight_eye_straight
4,4.jpg,0.036036354,-0.71087705,-3.018156595,-8.081615274,5.993821038,6,head_straight_eye_straight
5,5.jpg,0.38314893,-0.325023956,-3.039550029,-9.315843824,6.854695186,7,head_straight_eye_straight
6,6.jpg,0.38314893,-0.325023956,-3.039550029,-9.315843824,6.854695186,7,head_straight_eye_straight
7,7.jpg,-0.012147625,-0.571133967,-3.526805282,-7.4358251,6.870053099,6,head_straight_eye_straight
8,8.jpg,-0.012147625,-0.571133967,-3.526805282,-7.4358251,6.870053099,6,head_straight_eye_straight
9,9.jpg,0.517791719,-0.661678399,-2.93008697,-10.03066017,7.786081116,8,head_straight_eye_straight
10,10.jpg,0.517791719,-0.661678399,-2.93008697,-10.03066017,7.786081116,8,head_straight_eye_straight
11,11.jpg,0.726087098,-0.486517742,-3.15004511,-9.115003985,7.216746685,8,head_straight_eye_straight
12,12.jpg,0.726087098,-0.486517742,-3.15004511,-9.115003985,7.216746685,8,head_straight_eye_straight
13,13.jpg,-0.014007262,-0.493476214,-2.493004776,-8.564438853,10.18155732,10,head_straight_eye_straight
14,14.jpg,-0.014007262,-0.493476214,-2.493004776,-8.564438853,10.18155732,10,head_straight_eye_straight
15,15.jpg,-0.181932831,-0.469458429,-2.563425007,-7.382306591,5.008341164,4,head_straight_eye_straight
16,16.jpg,-0.181932831,-0.469458429,-2.563425007,-7.382306591,5.008341164,4,head_straight_eye_straight
17,17.jpg,0.483902876,-0.674996776,-2.415947737,-10.37960324,8.131525794,9,head_straight_eye_straight
18,18.jpg,0.483902876,-0.674996776,-2.415947737,-10.37960324,8.131525794,9,head_straight_eye_straight
19,19.jpg,0.809010908,-0.081800277,-2.617510311,-10.1863271,9.655710149,10,head_straight_eye_straight
20,20.jpg,0.809010908,-0.081800277,-2.617510311,-10.1863271,9.655710149,10,head_straight_eye_straight
21,21.jpg,0.15937062,-0.536865203,-2.248679942,-9.571660866,15.33594489,16,head_straight_eye_straight
22,22.jpg,0.15937062,-0.536865203,-2.248679942,-9.571660866,15.33594489,16,head_straight_eye_straight
23,23.jpg,0.237699943,-0.513133235,-1.996079921,-8.174410836,8.103305691,8,head_straight_eye_straight
24,24.jpg,0.237699943,-0.513133235,-1.996079921,-8.174410836,8.103305691,8,head_straight_eye_straight
25,25.jpg,0.372269829,-0.289453285,-1.759363141,-8.408761405,8.785253247,9,head_straight_eye_straight
26,26.jpg,0.372269829,-0.289453285,-1.759363141,-8.408761405,8.785253247,9,head_straight_eye_straight
27,27.jpg,0.886704618,-0.349355142,-1.987710418,-8.043232018,14.61163757,14,head_straight_eye_straight
28,28.jpg,0.886704618,-0.349355142,-1.987710418,-8.043232018,14.61163757,14,head_straight_eye_straight
29,29.jpg,0.546015437,-0.351959868,-1.995264001,-5.745109781,6.679031334,6,head_straight_eye_straight
30,30.jpg,0.546015437,-0.351959868,-1.995264001,-5.745109781,6.679031334,6,head_straight_eye_straight
31,31.jpg,0.421800936,0.151187939,-2.035021693,-7.94746898,5.457501554,5,head_straight_eye_straight
32,32.jpg,0.421800936,0.151187939,-2.035021693,-7.94746898,5.457501554,5,head_straight_eye_straight
33,33.jpg,0.892303237,0.071202893,-1.869399264,-10.37882715,7.271029391,9,head_straight_eye_straight
34,34.jpg,0.892303237,0.071202893,-1.869399264,-10.37882715,7.271029391,9,head_straight_eye_straight
35,35.jpg,0.904577848,-0.323199097,-1.797784793,-10.90816187,7.462421273,9,head_straight_eye_straight
36,36.jpg,0.904577848,-0.323199097,-1.797784793,-10.90816187,7.462421273,9,head_straight_eye_straight
37,37.jpg,0.802916416,-0.321879779,-1.727670119,-7.203125675,6.897818665,6,head_straight_eye_straight
38,38.jpg,0.802916416,-0.321879779,-1.727670119,-7.203125675,6.897818665,6,head_straight_eye_straight
39,39.jpg,0.864945864,-0.087278162,-2.119379406,-8.358278079,3.962467277,4,head_straight_eye_straight
40,40.jpg,0.864945864,-0.087278162,-2.119379406,-8.358278079,3.962467277,4,head_straight_eye_straight
41,41.jpg,1.188865617,0.055966943,-1.997849369,-9.224516876,7.628039701,8,head_straight_eye_straight
42,42.jpg,1.188865617,0.055966943,-1.997849369,-9.224516876,7.628039701,8,head_straight_eye_straight
43,43.jpg,1.300960369,-0.555199456,-1.380660345,-9.26875252,6.991306666,8,head_straight_eye_straight
44,44.jpg,1.300960369,-0.555199456,-1.380660345,-9.26875252,6.991306666,8,head_straight_eye_straight
45,45.jpg,1.17501445,-0.322648426,-1.347911839,-8.558703934,7.388380096,8,head_straight_eye_straight
46,46.jpg,1.17501445,-0.322648426,-1.347911839,-8.558703934,7.388380096,8,head_straight_eye_straight
47,47.jpg,0.950571521,-0.3052764,-1.49045826,-7.695660629,7.173645709,7,head_straight_eye_straight
48,48.jpg,0.950571521,-0.3052764,-1.49045826,-7.695660629,7.173645709,7,head_straight_eye_straight
49,49.jpg,0.324318976,-0.197628606,-2.012346479,-6.078963641,7.224980502,6,head_straight_eye_straight
50,50.jpg,0.324318976,-0.197628606,-2.012346479,-6.078963641,7.224980502,6,head_straight_eye_straight
51,51.jpg,0.386652764,-0.222427361,-1.969480543,-7.559642142,9.244564726,8,head_straight_eye_straight
52,52.jpg,0.386652764,-0.222427361,-1.969480543,-7.559642142,9.244564726,8,head_straight_eye_straight
53,53.jpg,0.230544197,-0.218540501,-2.038946665,-7.036112859,12.75238203,12,head_straight_eye_straight
54,54.jpg,0.230544197,-0.218540501,-2.038946665,-7.036112859,12.75238203,12,head_straight_eye_straight
55,55.jpg,0.517082294,-0.233601517,-1.936620519,-7.509320438,13.65010109,13,head_straight_eye_straight
56,56.jpg,0.517082294,-0.233601517,-1.936620519,-7.509320438,13.65010109,13,head_straight_eye_straight
57,57.jpg,0.40511726,-0.319314906,-2.17587134,-4.73806424,8.437385994,8,head_straight_eye_straight
58,58.jpg,0.40511726,-0.319314906,-2.17587134,-4.73806424,8.437385994,8,head_straight_eye_straight
59,59.jpg,0.203658339,-0.535712595,-1.803438769,-5.883487349,10.2464583,10,head_straight_eye_straight
60,60.jpg,0.203658339,-0.535712595,-1.803438769,-5.883487349,10.2464583,10,head_straight_eye_straight
61,61.jpg,-0.111574424,-0.403698397,-1.927237359,-8.54119234,10.30213461,9,head_straight_eye_straight
62,62.jpg,-0.111574424,-0.403698397,-1.927237359,-8.54119234,10.30213461,9,head_straight_eye_straight
