,file_name,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,label,predicted_label,actual_label
0,0.jpg,0.053992196,-0.998095999,-3.13111888,-11.59539915,1.176418543,6,head_straight_eye_straight,gazing,gazing
1,1.jpg,0.199837413,-0.842060113,-3.643689154,-6.869514195,6.450512612,5,head_straight_eye_straight,gazing,gazing
2,2.jpg,0.199837413,-0.842060113,-3.643689154,-6.869514195,6.450512612,5,head_straight_eye_straight,gazing,gazing
3,3.jpg,0.036036354,-0.71087705,-3.018156595,-8.081615274,5.993821038,6,head_straight_eye_straight,gazing,gazing
4,4.jpg,0.036036354,-0.71087705,-3.018156595,-8.081615274,5.993821038,6,head_straight_eye_straight,gazing,gazing
5,5.jpg,0.38314893,-0.325023956,-3.039550029,-9.315843824,6.854695186,7,head_straight_eye_straight,gazing,gazing
6,6.jpg,0.38314893,-0.325023956,-3.039550029,-9.315843824,6.854695186,7,head_straight_eye_straight,gazing,gazing
7,7.jpg,-0.012147625,-0.571133967,-3.526805282,-7.4358251,6.870053099,6,head_straight_eye_straight,gazing,gazing
8,8.jpg,-0.012147625,-0.571133967,-3.526805282,-7.4358251,6.870053099,6,head_straight_eye_straight,gazing,gazing
9,9.jpg,0.517791719,-0.661678399,-2.93008697,-10.03066017,7.786081116,8,head_straight_eye_straight,gazing,gazing
10,10.jpg,0.517791719,-0.661678399,-2.93008697,-10.03066017,7.786081116,8,head_straight_eye_straight,gazing,gazing
11,11.jpg,0.726087098,-0.486517742,-3.15004511,-9.115003985,7.216746685,8,head_straight_eye_straight,gazing,gazing
12,12.jpg,0.726087098,-0.486517742,-3.15004511,-9.115003985,7.216746685,8,head_straight_eye_straight,gazing,gazing
13,13.jpg,-0.014007262,-0.493476214,-2.493004776,-8.564438853,10.18155732,10,head_straight_eye_straight,gazing,gazing
14,14.jpg,-0.014007262,-0.493476214,-2.493004776,-8.564438853,10.18155732,10,head_straight_eye_straight,gazing,gazing
15,15.jpg,-0.181932831,-0.469458429,-2.563425007,-7.382306591,5.008341164,4,head_straight_eye_straight,gazing,gazing
16,16.jpg,-0.181932831,-0.469458429,-2.563425007,-7.382306591,5.008341164,4,head_straight_eye_straight,gazing,gazing
17,17.jpg,0.483902876,-0.674996776,-2.415947737,-10.37960324,8.131525794,9,head_straight_eye_straight,gazing,gazing
18,18.jpg,0.483902876,-0.674996776,-2.415947737,-10.37960324,8.131525794,9,head_straight_eye_straight,gazing,gazing
19,19.jpg,0.809010908,-0.081800277,-2.617510311,-10.1863271,9.655710149,10,head_straight_eye_straight,gazing,gazing
20,20.jpg,0.809010908,-0.081800277,-2.617510311,-10.1863271,9.655710149,10,head_straight_eye_straight,gazing,gazing
